libelle_exact_du_document,valeur
Total H.T.,"466,20 €"
Montant H.T. (ligne de deduction non libellee),"-46,62 €"
Net H.T.,"419,58 €"
T.V.A.,"83,92 €"
Total T.T.C.,"503,50 €"
Montant réglé,"503,50 €"
Net à payer,"0,00 €"
Base H.T. ligne TVA V5,"419,58 €"
Date d'échéance,12/08/2026
Mode de règlement,Virement
Code client,LERJU
Type de vente,Livraisons de biens
