ligne_source,fournisseur_colonne_A,dlc_ddm,produit,pu_ht,multiple_de_commande,tva,note_fournisseur
76,LE PÈRE ROUPSARD DESSERT,36 MOIS,Riz au lait de Normandie Eclats caramel d'Isigny 180 gr,2.25,/6,0.055,
77,LE PÈRE ROUPSARD DESSERT,36 MOIS,Riz au lait de Normandie 120 gr,1.77,/6,0.055,
78,LE PÈRE ROUPSARD DESSERT,36 MOIS,Riz au lait de Normandie Eclats caramel d'Isigny 120 gr,1.77,/6,0.055,
79,LE PÈRE ROUPSARD DESSERT,36 MOIS,Crème aux œufs à la crème d'Isigny 180 gr,2.25,/6,0.055,
80,LE PÈRE ROUPSARD DESSERT,36 MOIS,Crème aux œufs aux éclats de caramel d'Isigny 180 gr,2.25,/6,0.055,
81,LE PÈRE ROUPSARD DESSERT,36 MOIS,Crème aux œufs à la crème d'Isigny 120 gr,1.77,/6,0.055,
82,LE PÈRE ROUPSARD DESSERT,36 MOIS,Crème aux œufs aux éclats de caramel d'Isigny 120 gr,1.77,/6,0.055,
83,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Boudin campagnard aux pomme 90 grs,2.18,6/,0.055,
84,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Terrine de faisan au Calvados 90 grs,2.6,6/,0.055,
85,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Terrine de lièvre au Calvados 90 grs,2.6,6/,0.055,
86,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Terrine pomme porc andouille 90 grs,2.6,6/,0.055,
87,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Terrine de lapin au pommeau 90 grs,2.6,6/,0.055,
88,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Terrine de canard aux pommes 90 grs,2.6,6/,0.055,
89,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Terrine de campagne 90 grs,2.6,6/,0.055,
90,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Terrine de campagne au cidre 90 grs,2.6,6/,0.055,
91,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Terrine porc Livarot 90 grs,2.6,6/,0.055,
92,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Terrine porc camembert 90 grs,2.6,6/,0.055,
93,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Rillettes de porc à l'anciènne 90 grs,2.6,6/,0.055,
94,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Rillettes de porc fumé 90 grs,2.6,6/,0.055,
