ligne_source,gamme,sous_gamme,article,reference,poids,prix_ht_colonne_G,libelle_colonne_G,tva,ean,colisage,prix_colonne_K,libelle_colonne_K
197,LES PRODUITS ALIMENTAIRES INTERMÉDIAIRES (page 20),,POUDRE DE CARAMEL,NC01342,10KG,12.44,Prix unitaire HT,0.055,,2 x 5 kg,,Colisage
198,LES PRODUITS ALIMENTAIRES INTERMÉDIAIRES (page 20),,"ÉCLATS DE CARAMEL 1,5/4 MM",NC01378,900G,14.17,Prix unitaire HT,0.055,3498752013787,12,,Colisage
199,LES PRODUITS ALIMENTAIRES INTERMÉDIAIRES (page 20),,"ÉCLATS DE CARAMEL 1,5/4 MM",NC01344,2.2KG,31.66,Prix unitaire HT,0.055,3498752013442,4,,Colisage
200,LES PRODUITS ALIMENTAIRES INTERMÉDIAIRES (page 20),,"ÉCLATS DE CARAMEL 1,5/4 MM",NC01343,10KG,13.27,Prix unitaire HT,0.055,,2 x 5 kg,,Colisage
201,LES PRODUITS ALIMENTAIRES INTERMÉDIAIRES (page 20),,ÉCLATS DE CARAMEL 4/8 MM,NC01388,900G,14.57,Prix unitaire HT,0.055,3498752013886,12,,Colisage
202,LES PRODUITS ALIMENTAIRES INTERMÉDIAIRES (page 20),,ÉCLATS DE CARAMEL 4/8 MM,NC01348,2.2KG,32.61,Prix unitaire HT,0.055,3498752013480,4,,Colisage
203,LES PRODUITS ALIMENTAIRES INTERMÉDIAIRES (page 20),,ÉCLATS DE CARAMEL 4/8 MM,NC01349,10KG,13.66,Prix unitaire HT,0.055,,2 x 5 kg,,Colisage
204,LES PRODUITS ALIMENTAIRES INTERMÉDIAIRES (page 20),,CARAMELS FONDANTS BEURRE SALÉ À ENROBER,NC01626,2KG,43.3,Prix unitaire HT,0.2,,1,,Colisage
207,LES GOURMANDISES AU CARAMEL D’ISIGNY (page 21),,DOYPACK POP CORN,NC00251,140G,3.72,Prix unitaire HT,0.055,3498752002514,15,,Colisage
208,LES GOURMANDISES AU CARAMEL D’ISIGNY (page 21),,SACHET DE NOUGATS,NC80005,150G,4.5,Prix unitaire HT,0.2,3498751800050,12,,Colisage
209,LES GOURMANDISES AU CARAMEL D’ISIGNY (page 21),,SUCETTES x100,NC80017,1.3KG,33.21,Prix unitaire HT,0.2,3498751800173,1x100 sucettes,,Colisage
210,LES GOURMANDISES AU CARAMEL D’ISIGNY (page 21),,PRÉSENTOIR POUR 100 SUCETTES,NC80018,225G,8.38,Prix unitaire HT,0.2,,1,,Colisage
211,LES GOURMANDISES AU CARAMEL D’ISIGNY (page 21),,COOKIES AUX ÉCLATS DE CARAMEL,NC80704,220G,4.16,Prix unitaire HT,0.055,3449610272204,12,,Colisage
