document,article,designation,quantite,unite,pu_ttc,montant_ttc,code_tva,taux_tva
Facture N° 2600000025 du 12/08/2026 - page 1,BM2502,Le Blanc Marin 75 cl btlle,"12,00",UNI,"13,08 €","156,96 €",V5,"20,00"
Facture N° 2600000025 du 12/08/2026 - page 1,RM2502,Le Rosé Marin 75cl btlle,"12,00",UNI,"11,40 €","136,80 €",V5,"20,00"
Facture N° 2600000025 du 12/08/2026 - page 1,TF2501,Les Trois Flèches 75 cl btlle,"12,00",UNI,"15,60 €","187,20 €",V5,"20,00"
Facture N° 2600000025 du 12/08/2026 - page 1,LH2501,Les Hougues 75cl btlle,"6,00",UNI,"13,08 €","78,48 €",V5,"20,00"
