id_fournisseur,fournisseur,type,texte_exact_du_document,source
FOUR-0007,FERME DE L'ISLE,PANACHAGE / EXPEDITION / MINIMUM,Panachable en 2x10 par carton,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »
FOUR-0019,POM’ POM’,PANACHAGE / EXPEDITION / MINIMUM,Livraisons par 6 mais panachable par 2x3 pour les bouteilles de 70CL,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »
FOUR-0023,BRASSERIE LA LIE,PANACHAGE / EXPEDITION / MINIMUM,Attention !! / BRASSERIE LALIE / EXPEDITION / PAR / TRANSPORTEUR / UNIQUEMENT / A PARTIR / DE 8 CARTONS / OU / 6 CARTONS / ET / 5 DEMI-METRES,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »
FOUR-0025,DISTILLERIE C'EST NOUS,PANACHAGE / EXPEDITION / MINIMUM,Livraisons par 6 mais panachable par 2x3 pour les bouteilles de 70CL / panachage a volonté pour les 20cl,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »
FOUR-0027,Rucher du bocage Virois,PANACHAGE / EXPEDITION / MINIMUM,Colissage par 12 parfums au choix,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »
FOUR-0031,SKINFAXI,PANACHAGE / EXPEDITION / MINIMUM,MINIMUM DE COMMANDE DE 6 BOUTEILLES,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »
FOUR-0032,CROCAEN'T,PANACHAGE / EXPEDITION / MINIMUM,PANACHABLE A VOLONTE ET PARFUMS AU CHOIX A PRECISER LORS DE LA COMMANDE,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »
