type,cle_de_rapprochement,producteur,ids_produits,libelles,prix_ht,sources,decision
CONFLIT_DE_PRIX,vrac beurre sale d isigny aop 1kg 1kg gamme les caramels en vrac page 16 caramels papillotes cellophane imprimee vrac 3kg minimum,CARAMELS D'ISIGNY,PROD-0581 / PROD-0582,9.VRAC BEURRE SALÉ D’ISIGNY AOP || 10.VRAC BEURRE SALÉ D’ISIGNY AOP,13.0 / 13.65,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 119 – LES CARAMELS EN VRAC (page 16)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 120 – LES CARAMELS EN VRAC (page 16)),AUCUNE FUSION EFFECTUÉE – à arbitrer manuellement
CONFLIT_DE_PRIX,boite 2kg beurre sale d isigny aop 2kg 2kg gamme les caramels en vrac page 17 caramels patissiers cellophane imprimee boite de 2kg,CARAMELS D'ISIGNY,PROD-0599 / PROD-0617,27.BOÎTE 2KG BEURRE SALÉ D’ISIGNY AOP || 45.BOÎTE 2KG BEURRE SALÉ D’ISIGNY AOP,32.2 / 31.6,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 141 – LES CARAMELS EN VRAC (page 17)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 159 – LES CARAMELS EN VRAC (page 17)),AUCUNE FUSION EFFECTUÉE – à arbitrer manuellement
